Points with non-zero HEIDI values:
Point 101 -> Point 101, HEIDI Value: 3.0000
Point 102 -> Point 102, HEIDI Value: 3.0000
Point 103 -> Point 14, HEIDI Value: 3.0000
Point 103 -> Point 103, HEIDI Value: 3.0000
Point 103 -> Point 122, HEIDI Value: 3.0000
Point 104 -> Point 1, HEIDI Value: 3.0000
Point 104 -> Point 104, HEIDI Value: 3.0000
Point 104 -> Point 214, HEIDI Value: 3.0000
Point 105 -> Point 5, HEIDI Value: 3.0000
Point 105 -> Point 93, HEIDI Value: 3.0000
Point 105 -> Point 105, HEIDI Value: 3.0000
Point 105 -> Point 152, HEIDI Value: 3.0000
Point 106 -> Point 106, HEIDI Value: 3.0000
Point 107 -> Point 30, HEIDI Value: 3.0000
Point 107 -> Point 82, HEIDI Value: 3.0000
Point 107 -> Point 95, HEIDI Value: 3.0000
Point 107 -> Point 107, HEIDI Value: 3.0000
Point 107 -> Point 294, HEIDI Value: 3.0000
Point 108 -> Point 14, HEIDI Value: 3.0000
Point 108 -> Point 50, HEIDI Value: 3.0000
Point 108 -> Point 108, HEIDI Value: 3.0000
Point 109 -> Point 56, HEIDI Value: 3.0000
Point 109 -> Point 109, HEIDI Value: 3.0000
Point 109 -> Point 170, HEIDI Value: 3.0000
Point 109 -> Point 188, HEIDI Value: 3.0000
Point 109 -> Point 237, HEIDI Value: 3.0000
Point 110 -> Point 110, HEIDI Value: 3.0000
Point 110 -> Point 252, HEIDI Value: 3.0000
Point 110 -> Point 254, HEIDI Value: 3.0000
Point 110 -> Point 267, HEIDI Value: 3.0000
Point 110 -> Point 287, HEIDI Value: 3.0000
Point 111 -> Point 111, HEIDI Value: 3.0000
Point 111 -> Point 225, HEIDI Value: 3.0000
Point 111 -> Point 238, HEIDI Value: 3.0000
Point 112 -> Point 112, HEIDI Value: 3.0000
Point 113 -> Point 22, HEIDI Value: 3.0000
Point 113 -> Point 113, HEIDI Value: 3.0000
Point 113 -> Point 172, HEIDI Value: 3.0000
Point 114 -> Point 114, HEIDI Value: 3.0000
Point 114 -> Point 155, HEIDI Value: 3.0000
Point 114 -> Point 175, HEIDI Value: 3.0000
Point 115 -> Point 115, HEIDI Value: 3.0000
Point 116 -> Point 116, HEIDI Value: 3.0000
Point 117 -> Point 117, HEIDI Value: 3.0000
Point 117 -> Point 178, HEIDI Value: 3.0000
Point 117 -> Point 232, HEIDI Value: 3.0000
Point 118 -> Point 6, HEIDI Value: 3.0000
Point 118 -> Point 118, HEIDI Value: 3.0000
Point 118 -> Point 158, HEIDI Value: 3.0000
Point 119 -> Point 119, HEIDI Value: 3.0000
Point 119 -> Point 228, HEIDI Value: 3.0000
Point 119 -> Point 258, HEIDI Value: 3.0000
Point 120 -> Point 11, HEIDI Value: 3.0000
Point 120 -> Point 68, HEIDI Value: 3.0000
Point 120 -> Point 120, HEIDI Value: 3.0000
Point 120 -> Point 251, HEIDI Value: 3.0000
Point 120 -> Point 270, HEIDI Value: 3.0000
Point 121 -> Point 64, HEIDI Value: 3.0000
Point 121 -> Point 121, HEIDI Value: 3.0000
Point 121 -> Point 187, HEIDI Value: 3.0000
Point 122 -> Point 63, HEIDI Value: 3.0000
