rank,Company Name,Industry,State,City,Metro Area,Growth (%),Revenue ($),Number of Workers,Years on List,URL
380,Blue Ridge Product Solutions,Retail,Virginia,Richmond,Richmond VA,1256.5241,3240085,7,1,blue-ridge-product-solutions
457,Fathom Realty,Real Estate,North Carolina,Cary,Durham NC,1038.6491,2351447,7,1,fathom-realty
487,Maven Recruiting Group,Human Resources,California,San Francisco,San Francisco,977.8545,2069804,7,1,maven-recruiting-group
512,Tach Tech,IT Services,California,San Francisco,San Francisco,927.3937,3069421,7,1,tach-tech
528,Pyure Brands,Food & Beverage,Florida,Naples,Naples-Marco Island FL,898.3936,3044801,7,1,pyure-brands
578,gBuild Construction Managers,Construction,Pennsylvania,Exton,Philadelphia,824.8193,8132778,7,1,gbuild-construction-managers
860,DevelopIntelligence,Education,Colorado,Boulder,Boulder CO,524.7026,2046307,7,1,developintelligence
865,Landmark,Construction,Delaware,Dover,Dover DE,519.7045,3783730,7,1,landmark
875,OSSCube,IT Services,Texas,Austin,Austin,513.3923,4472090,7,1,osscube
987,Foodlinks,Food & Beverage,Kansas,Overland Park,Kansas City MO-KS,454.7134,9483724,7,1,foodlinks
1052,RE/MAX Dynamic-The Duncan Duo & Associates,Real Estate,Florida,Tampa,Tampa,423.4462,2800437,7,1,remax-dynamic-the-duncan-duo-associates
1213,Cherokee Data Solutions,Business Products & Services,Oklahoma,Claremore,Tulsa OK,360.0655,7088827,7,3,cherokee-data-solutions
1249,Little Guy Worldwide,Consumer Products & Services,Ohio,Massillon,Canton-Massillon OH,347.8561,14172676,7,1,little-guy-worldwide
1274,Idealist Consulting,IT Services,Oregon,Portland,Portland OR,339.6884,2476809,7,1,idealist-consulting
1288,GSD Construction,Construction,Texas,Houston,Houston,335.986,5121070,7,1,gsd-construction
1302,MaxBurst,IT Services,New York,Farmingdale,New York City,331.4218,2535250,7,1,maxburst
1535,STAR Collaborative,Human Resources,Minnesota,Plymouth,Minneapolis,278.3228,18403795,7,2,star-collaborative
1555,VAVi Sport & Social Club,Consumer Products & Services,California,San Diego,San Diego,273.1889,8017000,7,2,vavi-sport-social-club
1561,REI Network,Real Estate,Texas,Houston,Houston,272.5653,2116614,7,1,rei-network
1606,Nassau National Cable,Business Products & Services,New York,Great Neck,New York City,265.0575,4170588,7,1,nassau-national-cable
2032,Medisys Health Communications,Health,New Jersey,High Bridge,New York City,199.1228,3437950,7,1,medisys-health-communications
2664,Avanti Systems USA,Construction,New York,Port Chester,New York City,140.9734,2085237,7,1,avanti-systems-usa
2681,Peeled Snacks,Food & Beverage,New York,Brooklyn,New York City,140.2214,4829580,7,4,peeled-snacks
2968,Integrated Insight,Business Products & Services,Florida,The Villages,,121.4068,2684197,7,1,integrated-insight
3573,Small World Vacations,Travel & Hospitality,New Jersey,Township of Washington,New York City,91.2586,7556251,7,4,small-world-vacations
3629,Floor Mechanics,Retail,Nebraska,Omaha,Omaha-Council Bluffs NE-IA,88.8453,2794087,7,1,floor-mechanics
3811,iD Additives,Manufacturing,Illinois,La Grange,Chicago,81.8743,4853415,7,4,id-additives
3932,Stablenet,IT Services,North Carolina,Charlotte,Charlotte,77.0937,2652541,7,2,stablenet
3938,Cecchetti Wine Company,Food & Beverage,California,Vineburg,Santa Rosa-Petaluma CA,76.9483,15911401,7,4,cecchetti-wine-company
3969,Supply Chain Solutions,Logistics & Transportation,Wisconsin,La Crosse,La Crosse WI-MN,75.9049,3330851,7,1,supply-chain-solutions
4122,B.I.Minds,Software,California,Milpitas,San Jose,70.5516,2356000,7,1,biminds
4211,Government Sourcing Solutions,Government Services,District of Columbia,Washington,Washington DC,67.8176,2920116,7,3,government-sourcing-solutions
4566,Sports Shares,Travel & Hospitality,Colorado,Denver,Denver,55.8791,3245824,7,1,sports-shares
29,American Retirement Advisors,Financial Services,Arizona,Scottsdale,Phoenix,7758.1594,13876488,8,1,american-retirement-advisors
164,AudioMicro,Media,California,Sherman Oaks,Los Angeles,2495.6297,5426086,8,2,audiomicro
273,SoluComp,Telecommunications,Illinois,South Barrington,Chicago,1694.0032,2213172,8,1,solucomp
424,TK Media Direct,Advertising & Marketing,California,North Hollywood,Los Angeles,1119.883,12791083,8,1,tk-media-direct
484,Energy Optimizers USA,Energy,Ohio,Tipp City,Dayton OH,979.2288,6269823,8,1,energy-optimizers-usa
534,Wireless Environment,Consumer Products & Services,Ohio,Solon,Cleveland,892.206,7021554,8,2,wireless-environment
539,Las Ventanas Homes,Construction,New Mexico,Albuquerque,Albuquerque NM,887.2925,3139590,8,1,las-ventanas-homes
569,Full Circle Home,Consumer Products & Services,New York,New York,New York City,839.3754,3670910,8,1,full-circle-home
592,PSG Construction,Construction,Georgia,Atlanta,Atlanta,806.4316,4689850,8,1,psg-construction
618,Mass Metal,Financial Services,Kansas,Lawrence,Lawrence KS,758.5189,17550943,8,1,mass-metal
828,24hrs Deals,Consumer Products & Services,Florida,Deerfield Beach,Miami,549.6837,4509578,8,1,24hrs-deals
893,OneTaste,Education,California,San Francisco,San Francisco,500.3115,4220190,8,1,onetaste
1011,Madécasse Chocolate,Food & Beverage,New York,Brooklyn,New York City,440.5915,2571053,8,1,madecasse-chocolate
1098,Dorm Company,Retail,New York,Cheektowaga,Buffalo-Niagara Falls NY,405.0109,3973219,8,1,dorm-company
1119,Space Saving Solutions,Business Products & Services,South Carolina,Lexington,Columbia SC,394.0233,4020910,8,2,space-saving-solutions
1131,Action Staffing Solutions,Human Resources,Colorado,Loveland,Fort Collins-Loveland CO,389.9346,2585875,8,1,action-staffing-solutions
1159,The Rocket Company,Business Products & Services,Georgia,Cumming,Atlanta,377.9061,2050628,8,2,the-rocket-company
1161,Hover Networks,Telecommunications,New York,Buffalo,Buffalo-Niagara Falls NY,377.633,2115346,8,1,hover-networks
1222,Universal Industries,Consumer Products & Services,Nevada,Las Vegas,Las Vegas-Paradise NV,357.4292,4152730,8,2,universal-industries
1394,BWBacon Group,Human Resources,Colorado,Denver,Denver,307.2961,3465418,8,2,bwbacon-group
1491,Edge Partnerships,Advertising & Marketing,Michigan,Lansing,Lansing-East Lansing MI,287.4524,3224542,8,1,edge-partnerships
1492,iDrive Logistics,Logistics & Transportation,Utah,Lehi,Provo-Orem UT,287.4413,9256732,8,2,idrive-logistics
1501,BookPal,Consumer Products & Services,California,Irvine,Los Angeles,285.9572,5009011,8,3,bookpal
1507,Spot Freight,Logistics & Transportation,Indiana,Indianapolis,Indianapolis IN,284.2498,21183154,8,2,spot-freight
1508,Sundia,Food & Beverage,California,Orinda,San Francisco,283.783,39140430,8,5,sundia
1981,Aquire Restoration,Construction,Wisconsin,Oshkosh,Oshkosh-Neenah WI,205.6738,2216795,8,1,aquire-restoration
2052,In the Know Experiences,Travel & Hospitality,New York,New York,New York City,196.2027,6048296,8,2,in-the-know-experiences
2063,America's Swimming Pool Company,Consumer Products & Services,Georgia,Macon,Macon GA,194.8231,16735070,8,3,americas-swimming-pool-company
2123,SunVest Solar,Energy,Wisconsin,Pewaukee,Milwaukee-Waukesha-West Allis WI,188.0701,7040512,8,1,sunvest-solar
2213,Modern Flames,Consumer Products & Services,Arizona,Phoenix,Phoenix,177.7788,2083958,8,1,modern-flames
2230,Real Estate Heaven,Real Estate,California,South Pasadena,Los Angeles,175.8241,2965109,8,1,real-estate-heaven
2232,Society Awards,Consumer Products & Services,New York,Long Island City,New York City,175.2976,3677822,8,3,society-awards
2265,Urban Partners Construction,Construction,Florida,Jacksonville,Jacksonville FL,172.8555,6352350,8,1,urban-partners-construction
2376,Paragon Uniform & Apparel,Retail,New York,White Plains,New York City,162.4651,2711167,8,1,paragon-uniform-apparel
2440,Stone Farm,Business Products & Services,Connecticut,Newtown,Bridgeport-Stamford-Norwalk CT,157.1481,2895945,8,1,stone-farm
2699,Proforma GPS Global Promotional Sourcing,Advertising & Marketing,Nevada,Las Vegas,Las Vegas-Paradise NV,139.0221,7675000,8,2,proforma-gps-global-promotional-sourcing
2759,Sencha Naturals,Manufacturing,California,Los Angeles,Los Angeles,134.7217,3231961,8,2,sencha-naturals
3136,1st Oklahoma Construction,Construction,Oklahoma,Norman,Oklahoma City OK,112.5947,2937634,8,1,1st-oklahoma-construction
3365,Proforma Progressive Marketing,Advertising & Marketing,California,Bakersfield,Bakersfield CA,99.6921,2594000,8,2,proforma-progressive-marketing
3449,Pantano Power Equipment,Retail,New Jersey,Manalapan,New York City,96.3058,15703792,8,1,pantano-power-equipment
3598,Innovative Commercial Environments,Business Products & Services,California,San Diego,San Diego,90.1964,3814734,8,1,innovative-commercial-environments
3616,Wizard Studios NY,Media,New York,Brooklyn,New York City,89.3269,4442796,8,1,wizard-studios-ny
3785,Apposite Technologies,Computer Hardware,California,Los Angeles,Los Angeles,82.681,4703536,8,2,apposite-technologies
3794,Dobi & Associates,Consumer Products & Services,California,San DIego,San Diego,82.1946,12541082,8,1,dobi-associates
4249,ProRecruiters,Business Products & Services,Oklahoma,Tulsa,Tulsa OK,66.4296,2746948,8,2,prorecruiters
4305,Mudge Fasteners,Business Products & Services,California,Corona,Riverside-San Bernardino-Ontario CA,64.6586,3280000,8,2,mudge-fasteners
4417,Leonard Consulting,Government Services,Utah,Salt Lake City,Salt Lake City,61.0679,7760176,8,3,leonard-consulting
4855,Supplement Central,Health,Pennsylvania,Pittsburgh,Pittsburgh PA,47.128,6023251,8,1,supplement-central
167,Forte International Tax,Financial Services,Illinois,Evanston,Chicago,2447.3722,3475711,9,1,forte-international-tax
317,Phidiax,IT Services,Colorado,Denver,Denver,1461.4173,1983000,9,1,phidiax
345,Texas Green Giant,Environmental Services,Texas,Stafford,Houston,1354.7694,4251680,9,1,texas-green-giant
406,Clicks and Clients,Advertising & Marketing,Colorado,Englewood,Denver,1163.9888,2079211,9,1,clicks-and-clients
580,Phipps Court Reporting,Business Products & Services,Florida,West Palm Beach,Miami,823.9908,2862699,9,1,phipps-court-reporting
748,Dependable Transportation,Logistics & Transportation,Illinois,Mattoon,Charleston-Mattoon IL,609.9083,6626625,9,1,dependable-transportation
953,Edge Velocity,Telecommunications,New Hampshire,Salem,Boston,473.2331,2002160,9,1,edge-velocity
988,ChiroHealthUSA,Health,Mississippi,Flowood,Jackson MS,454.345,2774419,9,1,chirohealthusa
1041,Nest Realty,Real Estate,Virginia,Charlottesville,Charlottesville VA,427.7425,7690000,9,2,nest-realty
1147,Columbia Hobby Distribution,Consumer Products & Services,Washington,Vancouver,Portland OR,383.2035,2716865,9,1,columbia-hobby-distribution
1166,BeforeTheMovie,Advertising & Marketing,California,Fairfield,Vallejo-Fairfield CA,375.4996,2957170,9,1,beforethemovie
1195,SoundConnect,Telecommunications,Massachusetts,Quincy,Boston,367.5749,3228951,9,2,soundconnect
1436,Energy 1,Energy,Montana,Bozeman,Bozeman MT,297.0451,2695412,9,1,energy-1
